# LFI 字体清单 — 中文场景 (zh-cn)
# 来源: GitHub Release v1.0.0 (sinyche/linux-font-installer)

霞鹜文楷-Regular | LXGWWenKai-Regular.ttf | OFL
霞鹜文楷-Bold | LXGWWenKai-Bold.ttf | OFL
霞鹜文楷-Light | LXGWWenKai-Light.ttf | OFL
霞鹜文楷-Mono | LXGWWenKaiMono-Regular.ttf | OFL
得意黑 Smiley Sans | SmileySans.zip | OFL
思源黑体 Noto Sans CJK SC | NotoSansCJK-Regular.ttc | OFL
思源宋体 Noto Serif CJK SC | NotoSerifCJK-Regular.ttc | OFL
优设标题黑 | 优设标题黑.ttf | 免费商用
庞门正道标题体 | PangMenZhengDao-BiaoTi.ttf | 免费商用
京东朗正体 | JDLangZhengTi.ttf | 免费商用
钉钉进步体 | DingTalkJinBuTi.ttf | 免费商用
钉钉Sans | DingTalkSans.ttf | 免费商用
抖音美好体 | DouYinMeiHaoTi.otf | 免费商用
字体圈欣意冠黑体 | ZiTiQuanXinYiGuanHeiTi.ttf | 免费商用
站酷酷黑体 | ZhanKuKuHeiTi.ttf | 免费商用
